fold,rank1,rank2,rank3,n_train,n_val,val_mse,val_r2,fit_iterations,train_mse
3,5,5,1,318,79,8.18918406643884,0.182554417170589,4000,4.29199190714837
4,5,5,1,318,79,5.98199793025934,0.338703835386726,4000,6.23338950598356
5,5,5,1,318,79,8.0239214084387,0.258504764589253,4000,5.12935676943644
1,6,5,1,317,80,10.7870760809111,-0.00365302015349167,4000,4.06803140548782
2,6,5,1,317,80,9.81221794328598,0.0984273736686597,4000,5.03795558159391
3,6,5,1,318,79,8.37110724772757,0.164394817904991,4000,4.33958486212983
4,6,5,1,318,79,5.97841766840431,0.339099625131331,4000,6.20550795780564
5,6,5,1,318,79,8.34065446109667,0.22923527932286,4000,5.14751010956125
1,7,5,1,317,80,10.4953442676173,0.0234903422638137,4000,4.03029679245425
2,7,5,1,317,80,10.5521258050626,0.0304426756074386,4000,5.22275785422846
3,7,5,1,318,79,8.41666802881081,0.159846933897917,4000,4.35392625868699
4,7,5,1,318,79,6.15262347130461,0.319841572779188,4000,6.21878919848711
5,7,5,1,318,79,8.25154195583468,0.237470217665824,4000,5.1342484412778
1,8,5,1,317,80,10.5659697791947,0.0169191910581541,4000,4.03799282169044
2,8,5,1,317,80,10.5166025632501,0.0337066453441318,4000,5.17330266709699
3,8,5,1,318,79,8.63969248139625,0.137584599561573,4000,4.41677461918557
4,8,5,1,318,79,6.00464622352934,0.336200118459857,4000,6.17674241983187
5,8,5,1,318,79,8.29446821368374,0.233503377258388,4000,5.14567833317074
1,9,5,1,317,80,10.6865933152016,0.0056961149152962,4000,4.08994057539634
2,9,5,1,317,80,10.5256365512862,0.0328765785471001,4000,5.16977691783893
3,9,5,1,318,79,8.76065647375531,0.12550995568581,4000,4.42581992676536
4,9,5,1,318,79,5.94206470025409,0.343118362464629,4000,6.16598036605138
5,9,5,1,318,79,8.28152329492682,0.234699624715515,4000,5.1219662479137
1,10,5,1,317,80,10.6400149745487,0.0100298650362128,4000,4.08486943062438
2,10,5,1,317,80,10.4908623414861,0.0360717252345534,4000,5.17635686154098
3,10,5,1,318,79,8.75305699270447,0.126268537025099,4000,4.42187324613876
4,10,5,1,318,79,5.95942047121526,0.341199721752223,4000,6.18070792634058
5,10,5,1,318,79,8.26500036850168,0.236226517938372,4000,5.1195717001348
1,1,1,2,317,80,11.7238274782628,-0.0908104075709002,4000,6.80098193736113
2,1,1,2,317,80,9.34995260615414,0.140901539700109,4000,8.09706353571436
